target,category,value
example.com,subdomain,zsthai027.example.com
example.com,subdomain,a57440334948.example.com
example.com,subdomain,businesspuppy.example.com
example.com,subdomain,174172.example.com
example.com,subdomain,mr.asatrian2023.example.com
example.com,subdomain,bendlawbleh.example.com
example.com,subdomain,kanakhin2.egor.example.com
example.com,subdomain,gghulk.example.com
example.com,subdomain,lightsail201940.example.com
example.com,subdomain,srv0.example.com
example.com,subdomain,vladislavgrisyuk1.example.com
example.com,subdomain,logger.arcsight.example.com
example.com,subdomain,192722.example.com
example.com,subdomain,pedram10.a6868.example.com
example.com,subdomain,account47.example.com
example.com,subdomain,ahsaniqbal35404.example.com
example.com,subdomain,gamebrolive4.example.com
example.com,subdomain,hostfsb.example.com
example.com,subdomain,idragon93.example.com
example.com,subdomain,alexandrdemchenkoff.example.com
example.com,subdomain,contellformvd.example.com
example.com,subdomain,eletapt.example.com
example.com,subdomain,i.a.milovanov.example.com
example.com,subdomain,sandeysco1.example.com
example.com,subdomain,vvvvvvvvvv.example.com
example.com,subdomain,183191.example.com
example.com,subdomain,alevtod.example.com
example.com,subdomain,jjuddi.example.com
example.com,subdomain,alekseyvpn.example.com
example.com,subdomain,wow.igoist.example.com
example.com,subdomain,igrun2015strateg.example.com
example.com,subdomain,koreshkov.example.com
example.com,subdomain,thehottech461.example.com
example.com,subdomain,traderinsiderchik.example.com
example.com,subdomain,xmkzs5.example.com
example.com,subdomain,andreyturbin641.example.com
example.com,subdomain,dante1613.example.com
example.com,subdomain,gocrousworld.example.com
example.com,subdomain,artem.kaftanov92.example.com
example.com,subdomain,it19216810010.example.com
example.com,subdomain,a507564135.example.com
example.com,subdomain,makdubin.example.com
example.com,subdomain,mkutasov.example.com
example.com,subdomain,azen204827.example.com
example.com,subdomain,coo1.example.com
example.com,subdomain,haman207.example.com
example.com,subdomain,andrey.henneberg.example.com
example.com,subdomain,klochanvadimm1.example.com
example.com,subdomain,onduty2.example.com
example.com,subdomain,upckupke.example.com
example.com,subdomain,rudinandrey1.example.com
example.com,subdomain,support169.example.com
example.com,subdomain,vasilevadarya80.example.com
example.com,subdomain,raoneclick191128.example.com
example.com,subdomain,abtatw1.example.com
example.com,subdomain,ap5.example.com
example.com,subdomain,fleksoff.example.com
example.com,subdomain,support479.example.com
example.com,subdomain,celir1061.example.com
example.com,subdomain,karen555hakobyan.example.com
example.com,subdomain,ni598496.example.com
example.com,subdomain,pedroleandro1793.example.com
example.com,subdomain,pztrn1.example.com
example.com,subdomain,shum1979da3.example.com
example.com,subdomain,sub145.example.com
example.com,subdomain,taldiks.example.com
example.com,subdomain,uvi1975.example.com
example.com,subdomain,147-255-227-121.w.example.com
example.com,subdomain,147-255-227-18.w.example.com
example.com,subdomain,boomi.example.com
example.com,subdomain,lightsail201946.example.com
example.com,subdomain,thehottech1049.example.com
example.com,subdomain,vm29184.example.com
example.com,subdomain,dbtsupport.example.com
example.com,subdomain,stepaf3.example.com
example.com,subdomain,chapay101.example.com
example.com,subdomain,gtafave.example.com
example.com,subdomain,limtek4.example.com
example.com,subdomain,vpsdalmaktris1.example.com
example.com,subdomain,health.parkings.example.com
example.com,subdomain,alexpigs181.example.com
example.com,subdomain,madfingergames53.example.com
example.com,subdomain,shamanicrite.example.com
example.com,subdomain,snow.example.com
example.com,subdomain,wadimomon.example.com
example.com,subdomain,i10.example.com
example.com,subdomain,alexpigs147.example.com
example.com,subdomain,k4587.example.com
